19:42:05.034, SCHEDULER, SCHEDULER_RESPONSE, 37.0, Response time of Scheduler (ms) [STATE: FIRE]
19:42:05.034, SCHEDULER, SCHEDULER_RESPONSE, 2750.0, Response time of Scheduler (ms) [STATE: IDLE]
19:42:05.039, DRONE 999, DRONE_RESPONSE, 2771.0, Response time of DroneSubsystem (ms)
19:42:05.072, [DRONE 999 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:42:36.957, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:42:36.957, SCHEDULER, SCHEDULER_RESPONSE, 34717.0, Response time of Scheduler (ms) [STATE: IDLE]
19:42:36.958, DRONE 700, DRONE_RESPONSE, 34738.0, Response time of DroneSubsystem (ms)
19:42:36.958, [DRONE 700 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:42:48.962, SCHEDULER, SCHEDULER_RESPONSE, 46721.0, Response time of Scheduler (ms) [STATE: IDLE]
19:42:48.962, SCHEDULER, SCHEDULER_RESPONSE, 3.0, Response time of Scheduler (ms) [STATE: FIRE]
19:42:48.962, DRONE 400, DRONE_RESPONSE, 46742.0, Response time of DroneSubsystem (ms)
19:42:48.963, [DRONE 400 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:42:51.182, [DRONE 999 -> ZONE 0], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:43:01.974, SCHEDULER, SCHEDULER_RESPONSE, 59734.0, Response time of Scheduler (ms) [STATE: IDLE]
19:43:01.974, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:43:01.976, DRONE 500, DRONE_RESPONSE, 59754.0, Response time of DroneSubsystem (ms)
19:43:01.977, [DRONE 500 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:43:17.985, SCHEDULER, SCHEDULER_RESPONSE, 2.0, Response time of Scheduler (ms) [STATE: FIRE]
19:43:17.985, SCHEDULER, SCHEDULER_RESPONSE, 75744.0, Response time of Scheduler (ms) [STATE: IDLE]
19:43:17.986, DRONE 600, DRONE_RESPONSE, 75763.0, Response time of DroneSubsystem (ms)
19:43:17.986, [DRONE 600 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:43:34.995, DRONE 800, DRONE_RESPONSE, 92772.0, Response time of DroneSubsystem (ms)
19:43:34.995, [DRONE 800 -> ZONE 2], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:43:34.995, SCHEDULER, SCHEDULER_RESPONSE, 92755.0, Response time of Scheduler (ms) [STATE: IDLE]
19:43:34.995, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:43:37.279, [DRONE 999 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:43:48.082, DRONE 100, DRONE_RESPONSE, 105862.0, Response time of DroneSubsystem (ms)
19:43:48.082, [DRONE 100 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:43:48.079, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: FAULT]
19:43:48.082, SCHEDULER, SCHEDULER_RESPONSE, 105841.0, Response time of Scheduler (ms) [STATE: IDLE]
19:43:53.009, DRONE 300, DRONE_RESPONSE, 110789.0, Response time of DroneSubsystem (ms)
19:43:53.010, [DRONE 300 -> ZONE 1], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:43:53.009, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:43:53.009, SCHEDULER, SCHEDULER_RESPONSE, 110768.0, Response time of Scheduler (ms) [STATE: IDLE]
19:44:09.015, DRONE 200, DRONE_RESPONSE, 126792.0, Response time of DroneSubsystem (ms)
19:44:09.015, [DRONE 200 -> ZONE 3], DRONE_TRAVELS, 1079.35, Required distance to reach target fire (m)
19:44:09.014, SCHEDULER, SCHEDULER_RESPONSE, 126773.0, Response time of Scheduler (ms) [STATE: IDLE]
19:44:09.015, SCHEDULER, SCHEDULER_RESPONSE, 1.0, Response time of Scheduler (ms) [STATE: FIRE]
19:44:23.385, DRONE 999, DRONE_RESPONSE, 6.0, Response time of DroneSubsystem (ms)
19:44:23.386, [DRONE 999 -> ZONE 0], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:44:23.384, SCHEDULER, SCHEDULER_RESPONSE, 4.0, Response time of Scheduler (ms) [STATE: COMPLETE]
19:44:23.385, SCHEDULER, SCHEDULER_RESPONSE, 138390.0, Response time of Scheduler (ms) [STATE: CONFIRMATION]
19:44:24.024, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: FIRE]
19:44:24.024, SCHEDULER, SCHEDULER_RESPONSE, 141785.0, Response time of Scheduler (ms) [STATE: IDLE]
19:44:23.421, FIRE 1, FIRE_EXTINGUISHED, 138391.0, Time taken to extinguish fire (ms)
19:44:23.428, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 138443.0, Response time of FireIncidentSubsystem (ms)
19:44:26.874, SCHEDULER, SCHEDULER_RESPONSE, 0.0, Response time of Scheduler (ms) [STATE: FAULT]
19:44:34.181, [DRONE 100 -> ZONE 0], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
19:44:38.881, FIRE 3, FIRE_EXTINGUISHED, 109919.0, Time taken to extinguish fire (ms)
19:44:38.881, FIRE_INCIDENT_SUBSYSTEM, FIRE_RESPONSE, 109922.0, Response time of FireIncidentSubsystem (ms)
19:44:38.881, DRONE 400, DRONE_RESPONSE, 3.0, Response time of DroneSubsystem (ms)
19:44:38.882, DRONE 400, DRONE_RESPONSE, 1.0, Response time of DroneSubsystem (ms)
19:44:38.883, [DRONE 400 -> ZONE 0], DRONE_TRAVELS, 1099.15, Required distance to reach target fire (m)
19:44:39.109, [DRONE 300 -> ZONE 0], DRONE_TRAVELS, 460.98, Required distance to reach target fire (m)
